"assembled_transcript","path_num","path_name"
"TR6933-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR7188-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR5980-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR10909-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR11705-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR2063-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR14669-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR11311-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR5171-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR9224-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR6205-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR1540-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR11811-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR5917-c0_g1_i1utrorf","abv00010","Glycolysis / Gluconeogenesis"
"TR12747-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR3671-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR14889-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR6916-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR14394-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR11093-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR13839-c0_g1_i1utrorf","abv00010","Glycolysis / Gluconeogenesis"
"TR14131-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR10130-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR2232-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR8391-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR13754-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR3322-c0_g1_i1utrorf","abv00010","Glycolysis / Gluconeogenesis"
"TR8002-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR5865-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR1713-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR15114-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR15273-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR2357-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR10122-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR9002-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR6773-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR8241-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR8857-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR10853-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR12694-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR5136-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR9585-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR8161-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR9747-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR4081-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR4036-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR1300-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR13056-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR1131-c0_g1_i1utrorf","abv00010","Glycolysis / Gluconeogenesis"
"TR11442-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR274-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR6382-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR2002-c0_g1_i1","abv00010","Glycolysis / Gluconeogenesis"
"TR4207-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR13260-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR2808-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR4036-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR5024-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR11397-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR3457-c0_g1_i1utrorf","abv00020","Citrate cycle (TCA cycle)"
"TR9391-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR10480-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR12745-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR2357-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR11785-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR3032-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR10960-c0_g1_i1utrorf","abv00020","Citrate cycle (TCA cycle)"
"TR14019-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR12515-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR1860-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR11093-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR12788-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
"TR11311-c0_g1_i1","abv00020","Citrate cycle (TCA cycle)"
