"map","locus","path_name"
"map00010","TR9585-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR10122-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR2002-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR7188-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR3322-c0_g1_i1utrorf","Glycolysis / Gluconeogenesis"
"map00010","TR15273-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR8241-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR10060-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR11311-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR6773-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR5171-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR3671-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR1131-c0_g1_i1utrorf","Glycolysis / Gluconeogenesis"
"map00010","TR5917-c0_g1_i1utrorf","Glycolysis / Gluconeogenesis"
"map00010","TR4081-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR5136-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR1713-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR2357-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR1540-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR7521-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR9002-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR2232-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR6916-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR10853-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR15114-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR11811-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR12747-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR14889-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR14394-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR8002-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR2063-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR10168-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR13754-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR5865-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR14131-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR6205-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR11093-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR10130-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR11289-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR8857-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR8161-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR6382-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR9224-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR6933-c0_g1_i1","Glycolysis / Gluconeogenesis"
"map00010","TR10909-c0_g1_i1","Glycolysis / Gluconeogenesis"
