"assembled_transcript","Pru_locus"
"TR13473-c0_g1_i1","Pc03g00010"
"TR15261-c0_g1_i1","Pc03g00090"
"TR8341-c0_g1_i1","Pc06g00020"
"TR7411-c0_g1_i1","Pc06g00040"
"TR4316-c0_g1_i1","Pc06g00090"
"TR2340-c0_g1_i1","Pc06g00100"
"TR5829-c0_g1_i1","Pc06g00170"
"TR9585-c0_g1_i1","Pc06g00180"
"TR14669-c0_g1_i1","Pc06g00180"
"TR10122-c0_g1_i1","Pc06g00180"
"TR1940-c0_g1_i1","Pc06g00180"
"TR7188-c0_g1_i1","Pc06g00180"
"TR4496-c0_g1_i1","Pc06g00180"
"TR13754-c0_g1_i1","Pc06g00180"
"TR6566-c0_g1_i1","Pc06g00260"
"TR8175-c0_g1_i1","Pc06g00260"
"TR6942-c0_g1_i1","Pc06g00270"
"TR5099-c0_g1_i1","Pc06g00290"
"TR4170-c0_g1_i1","Pc06g00300"
"TR14570-c0_g1_i1","Pc06g00350"
"TR7630-c0_g1_i1","Pc06g00370"
"TR5985-c0_g1_i1","Pc06g00380"
"TR6438-c0_g1_i1","Pc06g00430"
"TR8590-c0_g1_i1","Pc06g00430"
"TR5861-c0_g1_i1","Pc06g00520"
"TR8056-c0_g1_i1","Pc06g00600"
"TR5143-c0_g1_i1","Pc06g00600"
"TR5326-c0_g1_i1","Pc06g00600"
"TR12191-c0_g1_i1","Pc06g00600"
"TR5988-c0_g1_i1","Pc06g00630"
"TR13469-c0_g1_i1","Pc06g00680"
"TR4994-c0_g1_i1","Pc06g00700"
"TR14839-c0_g1_i1","Pc06g00710"
"TR6068-c0_g1_i1","Pc06g00740"
"TR9026-c0_g1_i1","Pc06g00840"
"TR4181-c0_g1_i1","Pc06g00840"
"TR5510-c0_g1_i1","Pc06g00840"
"TR7166-c0_g1_i1","Pc06g00890"
"TR6343-c0_g1_i1","Pc06g00950"
"TR2846-c0_g1_i1","Pc06g00950"
"TR10619-c0_g1_i1","Pc06g00970"
"TR2373-c0_g1_i1","Pc06g00970"
"TR10040-c0_g1_i1","Pc06g00970"
"TR6738-c0_g1_i1","Pc06g00970"
"TR787-c0_g1_i1","Pc06g00970"
"TR3183-c0_g1_i1","Pc06g00980"
"TR4538-c0_g1_i1","Pc06g01000"
"TR13888-c0_g1_i1","Pc06g01040"
"TR12544-c0_g1_i1","Pc06g01090"
"TR8743-c0_g1_i1","Pc06g01110"
"TR3421-c0_g1_i1","Pc06g01170"
"TR7438-c0_g1_i1","Pc06g01240"
"TR9292-c0_g1_i1","Pc06g01290"
"TR10256-c0_g1_i1","Pc06g01340"
"TR7794-c0_g1_i1","Pc06g01450"
"TR612-c0_g1_i1","Pc06g01520"
"TR5431-c0_g1_i1","Pc06g01540"
"TR6527-c0_g1_i1","Pc06g01600"
"TR3539-c0_g1_i1","Pc06g01600"
"TR3179-c0_g1_i1","Pc06g01610"
"TR3268-c0_g1_i1","Pc06g01630"
"TR4500-c0_g1_i1","Pc06g01640"
"TR10674-c0_g1_i1","Pc06g01650"
"TR10279-c0_g1_i1","Pc06g01660"
"TR7338-c0_g1_i1","Pc06g01680"
"TR1808-c0_g1_i1","Pc06g01690"
"TR12535-c1_g1_i1","Pc06g01730"
"TR14858-c0_g1_i1","Pc06g01730"
"TR232-c0_g1_i1","Pc06g01730"
"TR6569-c0_g1_i1","Pc06g01730"
"TR2649-c0_g1_i1","Pc06g01730"
"TR765-c0_g1_i1","Pc06g01730"
"TR430-c0_g1_i1","Pc06g01730"
"TR5790-c0_g1_i1","Pc06g01730"
"TR2306-c0_g1_i1","Pc06g01770"
"TR168-c0_g1_i1","Pc06g01800"
"TR7949-c0_g1_i1","Pc06g01800"
"TR11501-c0_g1_i1","Pc06g01800"
"TR15233-c0_g1_i1","Pc06g01800"
"TR10134-c0_g1_i1","Pc06g01820"
"TR818-c0_g1_i1","Pc06g01830"
"TR12729-c0_g1_i1","Pc06g01830"
"TR15208-c0_g1_i1","Pc06g01880"
"TR12929-c0_g1_i1","Pc06g02040"
"TR9124-c0_g1_i1","Pc06g02130"
"TR7588-c0_g1_i1","Pc06g02160"
"TR8468-c1_g1_i1","Pc06g02160"
"TR10033-c0_g1_i1","Pc06g02280"
"TR5391-c1_g1_i1","Pc06g02330"
"TR5591-c0_g1_i1","Pc06g02330"
"TR3240-c0_g1_i1","Pc06g02330"
"TR14396-c0_g1_i1","Pc06g02340"
"TR8085-c0_g1_i1","Pc06g02340"
"TR12699-c0_g1_i1","Pc09g00050"
"TR2494-c0_g1_i1","Pc12g00010"
"TR9754-c0_g1_i1","Pc12g00030"
"TR10591-c0_g1_i1","Pc12g00040"
"TR6648-c0_g1_i1","Pc12g00050"
"TR607-c0_g1_i1","Pc12g00090"
"TR4785-c0_g1_i1","Pc12g00090"
"TR3963-c0_g1_i1","Pc12g00090"
"TR5895-c0_g1_i1","Pc12g00100"
"TR4697-c0_g1_i1","Pc12g00120"
"TR12433-c0_g1_i1","Pc12g00150"
"TR15257-c0_g1_i1","Pc12g00180"
"TR11375-c1_g1_i1","Pc12g00200"
"TR6354-c0_g1_i1","Pc12g00230"
"TR3173-c0_g1_i1","Pc12g00230"
"TR9731-c0_g1_i1","Pc12g00230"
"TR11587-c0_g1_i1","Pc12g00230"
"TR3455-c0_g1_i1","Pc12g00230"
"TR14109-c0_g1_i1","Pc12g00250"
"TR9605-c0_g1_i1","Pc12g00270"
"TR12411-c0_g1_i1","Pc12g00300"
"TR7550-c0_g1_i1","Pc12g00300"
"TR6255-c0_g1_i1","Pc12g00320"
"TR14778-c0_g1_i1","Pc12g00320"
"TR12784-c0_g1_i1","Pc12g00320"
"TR12242-c0_g1_i1","Pc12g00340"
"TR11787-c0_g1_i1","Pc12g00340"
"TR7287-c0_g1_i1","Pc12g00420"
"TR6647-c0_g1_i1","Pc12g00430"
"TR3046-c0_g1_i1","Pc12g00450"
"TR7921-c0_g1_i1","Pc12g00450"
"TR8933-c0_g1_i1","Pc12g00470"
"TR12005-c0_g1_i1","Pc12g00500"
"TR8437-c0_g1_i1","Pc12g00550"
"TR12471-c0_g1_i1","Pc12g00580"
"TR7475-c0_g1_i1","Pc12g00600"
"TR13410-c0_g1_i1","Pc12g00600"
"TR198-c0_g1_i1","Pc12g00610"
"TR7524-c0_g1_i1","Pc12g00610"
"TR12608-c0_g1_i1","Pc12g00610"
"TR12131-c0_g1_i1","Pc12g00610"
"TR12901-c0_g1_i1","Pc12g00610"
"TR6930-c0_g1_i1","Pc12g00610"
"TR7191-c0_g1_i1","Pc12g00610"
"TR9394-c0_g1_i1","Pc12g00660"
"TR4107-c0_g1_i1","Pc12g00710"
"TR8472-c0_g1_i1","Pc12g00810"
"TR1659-c0_g1_i1","Pc12g00920"
"TR1134-c0_g1_i1","Pc12g00960"
"TR14157-c0_g1_i1","Pc12g00960"
"TR13370-c0_g1_i1","Pc12g00960"
"TR7781-c0_g1_i1","Pc12g00960"
"TR12603-c0_g1_i1","Pc12g00970"
"TR3897-c0_g1_i1","Pc12g00980"
"TR14657-c0_g1_i1","Pc12g00990"
"TR15262-c0_g1_i1","Pc12g01000"
"TR14828-c0_g1_i1","Pc12g01000"
"TR15038-c0_g1_i1","Pc12g01020"
"TR9245-c0_g1_i1","Pc12g01060"
"TR6261-c0_g1_i1","Pc12g01110"
"TR12397-c0_g1_i1","Pc12g01170"
"TR10962-c0_g1_i1","Pc12g01240"
"TR3092-c0_g1_i1","Pc12g01290"
"TR7647-c0_g1_i1","Pc12g01320"
"TR9774-c0_g1_i1","Pc12g01320"
"TR4628-c0_g1_i1","Pc12g01330"
"TR7584-c0_g1_i1","Pc12g01420"
"TR2093-c0_g1_i1","Pc12g01520"
"TR12643-c0_g1_i1","Pc12g01520"
"TR3848-c0_g1_i1","Pc12g01560"
"TR5606-c0_g1_i1","Pc12g01560"
"TR9107-c0_g1_i1","Pc12g01590"
"TR12046-c0_g1_i1","Pc12g01620"
"TR4165-c0_g1_i1","Pc12g01650"
"TR6512-c0_g1_i1","Pc12g01820"
"TR3011-c0_g1_i1","Pc12g01840"
"TR3719-c0_g1_i1","Pc12g01870"
"TR3719-c1_g1_i1","Pc12g01870"
"TR12995-c0_g1_i1","Pc12g01870"
"TR12849-c0_g1_i1","Pc12g01870"
"TR11748-c0_g1_i1","Pc12g01880"
"TR708-c0_g1_i1","Pc12g01880"
"TR10530-c0_g1_i1","Pc12g01880"
"TR13466-c0_g1_i1","Pc12g01880"
"TR8504-c0_g1_i1","Pc12g01880"
"TR10915-c0_g1_i1","Pc12g01880"
"TR8884-c0_g1_i1","Pc12g01880"
"TR14188-c0_g1_i1","Pc12g01880"
"TR354-c0_g1_i1","Pc12g02060"
"TR5743-c0_g1_i1","Pc12g02070"
"TR11292-c0_g1_i1","Pc12g02070"
"TR6056-c0_g1_i1","Pc12g02220"
"TR825-c0_g1_i1","Pc12g02230"
"TR3040-c0_g1_i1","Pc12g02290"
"TR4096-c1_g1_i1","Pc12g02440"
"TR4096-c0_g1_i1","Pc12g02440"
"TR9770-c0_g1_i1","Pc12g02480"
"TR14957-c0_g1_i1","Pc12g02500"
"TR14689-c0_g1_i1","Pc12g02530"
"TR4583-c0_g1_i1","Pc12g02550"
"TR11440-c0_g1_i1","Pc12g02550"
"TR3202-c0_g1_i1","Pc12g02600"
"TR5214-c0_g1_i1","Pc12g02600"
"TR13462-c0_g1_i1","Pc12g02620"
"TR10036-c0_g1_i1","Pc12g02720"
"TR10955-c0_g1_i1","Pc12g02790"
"TR14351-c0_g1_i1","Pc12g03020"
"TR12368-c0_g1_i1","Pc12g03030"
"TR1249-c0_g1_i1","Pc12g03090"
"TR10711-c0_g1_i1","Pc12g03090"
"TR2862-c0_g1_i1","Pc12g03110"
"TR11317-c0_g1_i1","Pc12g03120"
"TR13495-c0_g1_i1","Pc12g03120"
"TR13495-c1_g1_i1","Pc12g03120"
"TR13948-c0_g1_i1","Pc12g03130"
"TR1706-c0_g1_i1","Pc12g03130"
"TR10992-c0_g1_i1","Pc12g03240"
"TR13125-c0_g1_i1","Pc12g03310"
"TR5548-c0_g1_i1","Pc12g03310"
"TR1162-c0_g1_i1","Pc12g03310"
"TR4257-c0_g1_i1","Pc12g03340"
"TR12639-c0_g1_i1","Pc12g03360"
"TR12856-c0_g1_i1","Pc12g03370"
"TR11949-c0_g1_i1","Pc12g03370"
"TR9267-c0_g1_i1","Pc12g03390"
"TR3899-c0_g1_i1","Pc12g03410"
"TR12232-c0_g1_i1","Pc12g03410"
"TR586-c0_g1_i1","Pc12g03410"
"TR14110-c0_g1_i1","Pc12g03410"
"TR10732-c0_g1_i1","Pc12g03410"
"TR3286-c0_g1_i1","Pc12g03410"
"TR5727-c0_g1_i1","Pc12g03410"
"TR2728-c0_g1_i1","Pc12g03440"
"TR917-c0_g1_i1","Pc12g03440"
"TR15193-c0_g1_i1","Pc12g03480"
"TR15225-c0_g1_i1","Pc12g03500"
"TR10113-c0_g1_i1","Pc12g03520"
"TR14280-c0_g1_i1","Pc12g03630"
"TR8589-c0_g1_i1","Pc12g03920"
"TR4256-c0_g1_i1","Pc12g04040"
"TR4530-c0_g1_i1","Pc12g04110"
"TR9917-c0_g1_i1","Pc12g04110"
"TR14817-c0_g1_i1","Pc12g04110"
"TR11757-c0_g1_i1","Pc12g04110"
"TR7782-c0_g1_i1","Pc12g04110"
"TR9053-c0_g1_i1","Pc12g04110"
"TR14775-c0_g1_i1","Pc12g04110"
"TR4872-c0_g1_i1","Pc12g04110"
"TR4554-c0_g1_i1","Pc12g04110"
"TR5986-c0_g1_i1","Pc12g04110"
"TR10867-c0_g1_i1","Pc12g04110"
"TR8189-c0_g1_i1","Pc12g04200"
"TR11795-c0_g1_i1","Pc12g04210"
"TR5330-c0_g1_i1","Pc12g04240"
"TR9148-c0_g1_i1","Pc12g04240"
"TR2802-c0_g1_i1","Pc12g04250"
"TR14795-c0_g1_i1","Pc12g04300"
"TR10829-c0_g1_i1","Pc12g04310"
"TR8284-c0_g1_i1","Pc12g04310"
"TR415-c0_g1_i1","Pc12g04310"
"TR6021-c0_g1_i1","Pc12g04340"
"TR8555-c0_g1_i1","Pc12g04340"
"TR683-c0_g1_i1","Pc12g04340"
